Player,Pass Yds,Yds/Att,Att,Cmp,Cmp %,TD,INT,Rate,1st,1st%,20+,40+,Lng,Sck,SckY
Matthew Stafford,1503,8.2,183,122,66.7,11,2,107.3,68,37.2,24,3,88,9,55
Dak Prescott,1119,6.7,166,121,72.9,6,3,95.4,56,33.7,12,0,37,6,35
Daniel Jones,1078,8.9,121,87,71.9,4,2,103.2,51,42.2,12,4,75,4,34
Justin Herbert,1063,7.1,149,95,63.8,7,3,92.2,49,32.9,13,1,60,12,67
Jordan Love,1000,8.3,121,84,69.4,8,1,113,46,38,12,3,57,8,69
Drake Maye,988,8,123,91,74,7,2,109.4,45,36.6,12,1,55,13,48
Josh Allen,964,8,121,85,70.2,7,1,109.7,48,39.7,13,2,51,7,34
Geno Smith,948,7.5,127,81,63.8,6,7,79.1,43,33.9,15,2,61,12,87
Patrick Mahomes,939,6.6,142,87,61.3,7,1,94.2,44,31,11,2,49,7,52
Jared Goff,929,7.6,122,90,73.8,9,2,113,47,38.5,11,2,64,4,25
Caleb Williams,927,7.1,130,81,62.3,8,2,97.8,41,31.5,13,2,65,7,51
Michael Penix Jr.,918,7.3,125,78,62.4,3,3,82.7,45,36,10,3,69,5,42
Sam Darnold,905,9,100,70,70,5,2,106.5,40,40,14,3,45,6,34
Mac Jones,905,7,129,86,66.7,6,1,99.1,48,37.2,6,1,42,5,23
Baker Mayfield,904,6.5,139,83,59.7,8,1,95.1,41,29.5,13,2,77,8,57
Lamar Jackson,869,9.2,95,68,71.6,10,1,130.6,39,41,14,1,41,15,103
Bo Nix,861,6.3,137,90,65.7,7,4,87.9,42,30.7,10,2,52,3,16
Trevor Lawrence,845,5.9,144,84,58.3,5,4,75.1,42,29.2,8,2,46,3,27
C.J. Stroud,832,7.1,117,79,67.5,4,3,88.7,31,26.5,12,1,50,10,91
Joe Flacco,815,5.1,160,93,58.1,2,6,60.3,35,21.9,8,0,35,9,54
Aaron Rodgers,786,7.3,108,74,68.5,8,3,102.6,30,27.8,10,2,80,9,64
Russell Wilson,786,7.1,111,66,59.5,3,3,78.9,31,27.9,12,3,52,8,53
Spencer Rattler,765,5.2,146,98,67.1,5,1,88.4,43,29.4,4,0,39,9,57
Bryce Young,753,5.2,144,87,60.4,5,3,77.1,41,28.5,8,1,40,6,55
Tua Tagovailoa,752,6.6,114,79,69.3,7,4,93.2,44,38.6,7,1,47,8,31